eel_library,Adomaviridae,Caliciviridae,Hepeviridae,Circoviridae,Nanghoshaviridae,Astroviridae,Rhabdoviridae,Flaviviridae,raw_reads,long,lat,species,location
E1,0.108374384,0.009852217,0,0,0,0,0,0.881773399,183278201,-45.2137814,167.7500548,long,teanau
E2,0,0.005979073,0,0,0,0,0,0.994020927,204592064,-45.2137814,167.7500548,long,teanau
E3,0,0.007518797,0,0,0,0,0,0.992481203,203357845,-45.2137814,167.7500548,long,teanau
E4,0,0.028735632,0.003831418,0,0,0,0,0.96743295,233959442,-45.2137814,167.7500548,long,teanau
E5,0,0,0,0.495745351,0,0,0,0.504254649,164557092,-45.2137814,167.7500548,long,teanau
E9,0,0.111400651,0,0,0,0,0,0.888599349,188609690,-45.2137814,167.7500548,long,teanau
E10,0,0,0,0,0.699727484,0,0,0.300272516,244129737,-45.2137814,167.7500548,long,teanau
E11,0,0.125,0,0,0,0.875,0,0,202268544,-45.2137814,167.7500548,long,teanau
E12,0,0.106728538,0,0,0,0,0,0.893271462,193607590,-45.2137814,167.7500548,long,teanau
E6,0,1,0,0,0,0,0,0,205711216,-45.257319,168.1900424,long,mavora
E7,0,0,0,0,0.95049505,0,0,0.04950495,217043095,-45.257319,168.1900424,long,mavora
E8,0,0.034482759,0.955818966,0,0.007543103,0,0,0.002155172,221504729,-45.257319,168.1900424,long,mavora
E13,0,0,0,0,0.146341463,0,0.243902439,0.609756098,220215304,-43.7927764,172.49697,short,ellesmere
E14,0,0.625,0,0,0,0,0,0.375,256540448,-43.7927764,172.49697,short,ellesmere
