eel_library,Adomaviridae,Caliciviridae,Hepeviridae,Circoviridae,Nanghoshaviridae,Astroviridae,Rhabdoviridae,Flaviviridae,raw_reads,long,lat,species,location
E1,6.0018E-08,5.45619E-09,0,0,0,0,0,4.88329E-07,183278201,-45.2137814,167.7500548,long,teanau
E2,0,1.95511E-08,0,0,0,0,0,3.25037E-06,204592064,-45.2137814,167.7500548,long,teanau
E3,0,1.47523E-08,0,0,0,0,0,1.94731E-06,203357845,-45.2137814,167.7500548,long,teanau
E4,0,6.41137E-08,8.54849E-09,0,0,0,0,2.15849E-06,233959442,-45.2137814,167.7500548,long,teanau
E5,0,0,0,5.7354E-07,0,0,0,5.83384E-07,164557092,-45.2137814,167.7500548,long,teanau
E6,0,6.1737E-07,0,0,0,0,0,0,205711216,-45.257319,168.1900424,long,mavora
E7,0,0,0,0,1.32693E-06,0,0,6.91107E-08,217043095,-45.257319,168.1900424,long,mavora
E8,0,1.44466E-07,4.00443E-06,0,3.1602E-08,0,0,9.02915E-09,221504729,-45.257319,168.1900424,long,mavora
E9,0,9.06634E-07,0,0,0,0,0,7.23187E-06,188609690,-45.2137814,167.7500548,long,teanau
E10,0,0,0,0,1.70385E-06,0,0,7.31169E-07,244129737,-45.2137814,167.7500548,long,teanau
E11,0,4.94392E-09,0,0,0,3.46075E-08,0,0,202268544,-45.2137814,167.7500548,long,teanau
E12,0,1.18797E-07,0,0,0,0,0,9.94279E-07,193607590,-45.2137814,167.7500548,long,teanau
E13,0,0,0,0,2.72461E-08,0,4.54101E-08,1.13525E-07,220215304,-43.7927764,172.49697,short,ellesmere
E14,0,1.94901E-08,0,0,0,0,0,1.16941E-08,256540448,-43.7927764,172.49697,short,ellesmere
